"","Country.of.Origin","Altitude","Weight.kg","Variety","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Overall","Total.Cup.Points","Moisture.Percentage","Category.One.Defects","Quakers","Color","Category.Two.Defects"
"105","Mexico",1200,18000,"Sarchimor","Washed / Wet",7.67,7.67,7.58,7.67,7.83,7.58,10,10,10,7.75,83.75,11.7,4,0,"green",12
"106","Colombia",NA,1,NA,NA,7.83,7.75,7.5,7.58,7.67,7.67,10,10,10,7.67,83.67,12.4,1,0,"greenish",9
"107","Taiwan",1250,100,"SL34","Washed / Wet",7.67,7.67,7.75,7.75,7.5,7.67,10,10,10,7.67,83.67,10,0,0,"bluish-green",0
"108","Myanmar",1400,3000,"Blend","Natural / Dry",7.83,7.83,7.67,7.58,7.58,7.58,10,10,10,7.58,83.67,10.2,0,1,"yellowish",1
"109","Taiwan",300,13,NA,"Pulped natural / honey",7.58,7.75,7.67,7.83,7.5,7.67,10,10,10,7.67,83.67,9.2,0,0,"greenish",0
"110","Honduras",1470,135,"Parainema","Natural / Dry",7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.67,83.67,11.1,0,2,"yellowish",1
"111","Taiwan",325,10,NA,"Natural / Dry",7.58,7.67,7.5,7.75,7.75,7.67,10,10,10,7.67,83.58,8.4,0,0,"green",0
"112","Taiwan",275,10,"Typica","Pulped natural / honey",7.58,7.75,7.58,7.75,7.58,7.67,10,10,10,7.67,83.58,9.1,0,0,"green",0
"113","Guatemala",1600,18975,"Caturra","Washed / Wet",7.58,7.83,7.58,7.67,7.58,7.58,10,10,10,7.75,83.58,10.9,0,2,"green",4
"114","Honduras",1400,17940,"SHG","Washed / Wet",7.75,7.67,7.58,7.58,7.58,7.67,10,10,10,7.67,83.5,11.2,0,1,"green",5
"115","Colombia",1700,18000,"Caturra","Washed / Wet",7.75,7.75,7.5,7.58,7.83,7.5,10,10,10,7.58,83.5,12.2,0,0,"bluish-green",2
"116","Thailand",1390,2,"Bourbon","Washed / Wet",7.42,7.83,7.58,7.67,7.67,7.75,10,10,10,7.58,83.5,13.1,0,0,"green",0
"117","Ethiopia",1700,6144000,"Ethiopian Heirlooms","Washed / Wet",7.42,7.42,7.42,8,7.92,7.67,10,10,10,7.67,83.5,10.4,0,1,"greenish",11
"118","Thailand",1450,10,"Java","Washed / Wet",7.67,7.67,7.5,7.67,7.58,7.67,10,10,10,7.67,83.42,11.6,0,2,"green",0
"119","Uganda",1650,9000,"SL14","Washed / Wet",7.75,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,83.42,10.1,0,0,"green",3
"120","Taiwan",1100,40,"Blend","Washed / Wet",7.75,7.92,7.67,7.92,7.75,7.83,8.67,10,10,7.92,83.42,10.1,0,0,"blue-green",0
"121","Uganda",1905,19200,"SL14","Washed / Wet",7.75,7.67,7.58,7.5,7.67,7.5,10,10,10,7.67,83.33,11.1,0,0,"green",5
"122","Taiwan",250,8,"Typica","Pulped natural / honey",7.58,7.67,7.5,7.75,7.5,7.58,10,10,10,7.75,83.33,9.7,0,0,"greenish",0
"123","Guatemala",1300,19200,"Blend","Washed / Wet",7.5,7.75,7.58,7.75,7.67,7.58,10,10,10,7.5,83.33,11.4,0,0,"green",0
"124","Taiwan",300,80,"Typica","Washed / Wet",7.58,7.67,7.58,7.75,7.42,7.58,10,10,10,7.75,83.33,9.6,0,0,"green",1
"125","Colombia",1100,2,"Caturra","Washed / Wet",7.67,7.67,7.42,7.75,7.5,7.75,10,10,10,7.58,83.33,13.5,0,0,"greenish",0
"126","Costa Rica",1850,22080,"Caturra","Washed / Wet",7.58,7.75,7.42,7.67,7.5,7.75,10,10,10,7.67,83.33,10,0,0,"green",3
"127","Taiwan",750,100,"SL34","Washed / Wet",7.75,7.83,7.58,7.58,7.58,7.5,10,10,10,7.5,83.33,10.7,0,0,"blue-green",1
"128","Thailand",1400,2,"Typica","Washed / Wet",7.92,7.92,7.75,7.33,7.58,7.5,10,10,10,7.33,83.33,12.3,0,0,"yellow-green",16
"129","Tanzania, United Republic Of",1550,19200,"Bourbon","Washed / Wet",7.92,7.67,7.42,7.5,7.67,7.58,10,10,10,7.5,83.25,10.4,0,0,"greenish",8
"130","Brazil",950,57600,"Mundo Novo","Natural / Dry",7.58,7.5,7.5,7.83,7.67,7.5,10,10,10,7.67,83.25,11.6,0,0,"green",4
"131","Taiwan",1150,320,NA,"Washed / Wet",7.75,7.75,7.58,7.67,7.42,7.5,10,10,10,7.58,83.25,9.6,0,0,"green",1
"132","Colombia",1390,24,"Blend","Anaerobic",7.67,7.67,7.58,7.67,7.58,7.58,10,10,10,7.5,83.25,10.9,0,0,"brownish",2
"133","Honduras",1600,135,"Lempira","Washed / Wet",7.67,7.75,7.67,7.58,7.5,7.58,10,10,10,7.5,83.25,10.5,0,0,"bluish-green",3
"134","Honduras",1400,17940,"Catuai","Washed / Wet",7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.25,11.3,0,1,"green",5
"135","Taiwan",250,16,"Typica","Natural / Dry",7.75,7.75,7.5,7.75,7.5,7.42,10,10,10,7.5,83.17,9.7,0,0,"greenish",2
"136","Taiwan",340,100,NA,"Washed / Wet",7.67,7.67,7.5,7.58,7.58,7.5,10,10,10,7.67,83.17,11.8,0,0,"blue-green",0
"137","Laos",1250,1560,"Catimor","Natural / Dry",7.67,7.75,7.33,7.67,7.58,7.5,10,10,10,7.58,83.08,11.8,0,0,"brownish",7
"138","Honduras",1368,17250,"Catuai","Washed / Wet",7.67,7.67,7.5,7.58,7.58,7.5,10,10,10,7.58,83.08,10.6,0,2,"green",7
"139","Honduras",1450,22425,"Catuai","Washed / Wet",7.75,7.58,7.58,7.58,7.58,7.5,10,10,10,7.5,83.08,9.6,0,0,"green",2
"140","Colombia",1650,18000,"Caturra","Washed / Wet",8,7.67,7.42,7.58,7.58,7.42,10,10,10,7.33,83,13.1,0,0,"bluish-green",1
"141","Taiwan",275,12,"Typica","Pulped natural / honey",7.5,7.67,7.58,7.58,7.5,7.5,10,10,10,7.58,82.92,8.9,0,0,"blue-green",0
"142","Mexico",1350,9729,"Bourbon","Washed / Wet",7.75,7.5,7.42,7.67,7.58,7.5,10,10,10,7.5,82.92,11.9,2,0,"green",1
"143","Colombia",1350,12,"Blend","Washed / Wet",7.58,7.5,7.5,7.67,7.58,7.5,10,10,10,7.58,82.92,11.5,0,1,"greenish",3
"144","Taiwan",1200,300,"Gesha",NA,7.67,7.5,7.42,7.75,7.42,7.58,10,10,10,7.58,82.92,10.2,0,0,"yellow-green",0
"145","Honduras",1280,18975,"Catuai","Washed / Wet",7.67,7.58,7.5,7.5,7.58,7.5,10,10,10,7.5,82.83,10,0,0,"green",4
