"","Country.of.Origin","Altitude","Weight.kg","Variety","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Overall","Total.Cup.Points","Moisture.Percentage","Category.One.Defects","Quakers","Color","Category.Two.Defects"
"184","Brazil",1000,70,"Catuai","Pulped natural / honey",7.5,7.5,7.42,7.33,7.33,7.33,10,10,10,7.42,81.83,11.3,0,0,"yellowish",2
"185","Brazil",950,19175,"Catuai","Natural / Dry",7.42,7.5,7.58,7.33,7.33,7.25,10,10,10,7.33,81.75,11.1,0,0,"yellow-green",0
"186","Colombia",1574,19250,"Santander","Washed / Wet",7.33,7.5,7.33,7.42,7.42,7.42,10,10,10,7.33,81.75,11.2,0,0,"yellow-green",0
"187","Mexico",1200,2208,"Typica","Washed / Wet",7.58,7.42,7.25,7.25,7.5,7.33,10,10,10,7.33,81.67,11.8,2,0,"green",2
"188","Costa Rica",1200,6900,"Caturra","Washed / Wet",7.33,7.42,7.25,7.42,7.42,7.33,10,10,10,7.42,81.58,9.7,0,2,"green",4
"189","Taiwan",300,100,"Typica","Pulped natural / honey",7.42,7.5,7.33,7.33,7.33,7.33,10,10,10,7.33,81.58,9,0,0,"yellow-green",0
"190","Taiwan",435,8,NA,"Pulped natural / honey",7.33,7.5,7.42,7.33,7.33,7.25,10,10,10,7.33,81.5,8.5,0,0,"green",0
"191","Thailand",1400,2,"Java","Washed / Wet",7.33,7.42,7.25,7.33,7.5,7.42,10,10,10,7.17,81.42,11.6,2,0,"green",1
"192","Thailand",1400,75,"Blend","Natural / Dry",7.42,7.25,7.33,7.42,7.33,7.33,10,10,10,7.25,81.33,10.5,0,0,"yellowish",5
"193","Thailand",700,2,"Catimor","Washed / Wet",7.25,7.25,7.42,7.25,7.42,7.42,10,10,10,7.17,81.17,10.4,0,0,"green",0
"194","Colombia",1550,30,"Blend","Washed / Wet",7.42,7.25,7.25,7.42,7.17,7.33,10,10,10,7.33,81.17,11.4,0,2,"greenish",2
"195","Brazil",1200,26400,NA,"Natural / Dry",7.42,7.42,7.25,7.25,7.17,7.25,10,10,10,7.25,81,10.6,0,2,"greenish",1
"196","El Salvador",1400,2,"Bourbon","Natural / Dry",7.42,7.33,7.33,7.5,7.08,7,10,10,10,7.17,80.83,10.5,0,8,"bluish-green",7
"197","Nicaragua",1100,18975,"Caturra","Washed / Wet",7.25,7.25,7.17,7.33,7.08,7.25,10,10,10,7.17,80.5,11.5,0,1,"greenish",3
"198","Nicaragua",1000,18975,"Sarchimor","Washed / Wet",7.42,7.17,7,7.08,7.42,7.17,10,10,10,7.17,80.42,11.2,0,0,"green",5
"199","Colombia",1600,30,"Blend","Washed / Wet",7.25,7.25,7.17,7.33,7,7.17,10,10,10,7.25,80.42,11,0,3,"greenish",3
"200","Peru",1600,18975,"Caturra","Washed / Wet",7.5,7.25,7.17,7.17,7.17,7.08,10,10,10,7,80.33,11.8,0,6,"greenish",11
"201","El Salvador",1300,2,"Pacas","Natural / Dry",7.08,7.25,7.08,7.42,7.42,7.08,10,10,10,7,80.33,11.5,0,10,"bluish-green",7
"202","Brazil",1200,26400,"Blend","Natural / Dry",7.25,7.17,7.17,7.08,7.17,7.17,10,10,10,7.17,80.17,11.6,0,1,"greenish",2
"203","Brazil",950,134400,"Mundo Novo","Natural / Dry",7.17,7.17,6.92,7.17,7.42,7.17,10,10,10,7.08,80.08,11.4,0,0,"green",4
"204","Nicaragua",1200,9000,"SHG","Natural / Dry",7.33,7.08,6.75,7.17,7.42,7.17,10,10,10,7.08,80,10.4,0,2,"green",12
"205","Laos",1300,20580,"Catimor","Washed / Wet",7.25,7.17,7.08,7,7.08,7.08,10,10,10,7,79.67,11.6,0,9,"green",11
"206","El Salvador",1200,2,"Maragogype","Natural / Dry",6.5,6.75,6.75,7.17,7.08,7,10,10,10,6.83,78.08,11,0,12,"bluish-green",13
"207","Brazil",975,36000,"Mundo Novo","Semi Washed",7.25,7.08,6.67,6.83,6.83,6.67,10,10,10,6.67,78,11.3,0,0,"green",1
